video_id,video_link,title,comment_count,like_count,languages_used,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr
_5PELxP8Udg,https://www.youtube.com/watch?v=_5PELxP8Udg,[M/V] SEVENTEEN(세븐틴) - 어쩌나 (Oh My!),3800.0,1526361,44.0,1564,168,539,89,69,100,91,18,33,133,28,16,44,90,4,81,16,42,6,34,38,8,41,63,84,91,20,27,118,21,53,1,8,2,0,2,17,25,0,1,1,7,0,2,0,2,2,0,1,0,0,0,0,0,0,0
0b-EatqUvb4,https://www.youtube.com/watch?v=0b-EatqUvb4,NCT U 엔시티 유 ‘Misfit’ Track Video,95495.0,1523252,48.0,40056,1848,1644,6002,6104,9901,1932,2677,827,2909,558,890,1609,3583,585,184,579,356,272,662,963,253,974,996,1284,1602,1568,359,861,509,1338,99,245,109,71,63,525,296,49,46,32,26,1,11,0,25,0,0,2,0,0,7,0,0,3,0
y09NxUvG2x0,https://www.youtube.com/watch?v=y09NxUvG2x0,NAYEON “POP!” Performance Video,3800.0,1496732,45.0,972,153,363,63,162,22,269,54,24,89,26,149,82,67,53,114,24,32,139,46,20,7,33,31,49,393,80,14,44,8,32,38,10,22,7,21,42,17,4,4,5,6,0,2,0,7,0,0,1,0,0,0,0,0,0,0
SRApgX07GHk,https://www.youtube.com/watch?v=SRApgX07GHk,Would you be my Soulmate?💍❤🫢,5681.0,1478538,44.0,1980,182,488,127,399,49,240,113,45,84,52,35,211,345,37,282,34,106,114,99,80,4,39,16,43,72,58,30,62,10,52,26,24,10,3,19,52,28,6,4,5,5,0,0,0,8,0,0,3,0,0,0,0,0,0,0
gZItyr1SNjU,https://www.youtube.com/watch?v=gZItyr1SNjU,[M/V] SEVENTEEN(세븐틴) - 고맙다(THANKS),63137.0,1408453,47.0,31409,5163,5322,2865,1123,1433,1369,223,374,1030,385,348,1069,1859,111,366,257,290,341,421,659,218,343,356,1952,763,729,302,472,171,492,73,167,127,12,34,251,124,25,10,14,56,0,2,0,17,0,0,7,0,0,2,0,0,0,1
YnoSTg2atPM,https://www.youtube.com/watch?v=YnoSTg2atPM,BTS (방탄소년단) ‘Butter’ Jacket Preview Clip - Jimin #Shorts,19374.0,1403219,49.0,4826,1047,2789,470,342,479,1062,219,247,230,88,176,624,1003,100,202,153,399,713,256,136,10,717,95,126,744,175,60,207,57,102,145,186,245,13,295,410,129,10,9,10,11,0,3,5,44,0,0,1,1,0,1,0,0,2,0
3P-wT723kYs,https://www.youtube.com/watch?v=3P-wT723kYs,"Bang Chan, Lee Know ""Drive"" | [Stray Kids : SKZ-PLAYER]",72031.0,1394411,47.0,26898,567,2139,4137,2094,2041,9254,4827,557,1049,646,526,2999,2473,1443,139,259,271,839,755,578,34,353,439,644,1042,1123,543,678,313,769,233,201,77,143,202,294,167,51,87,81,14,0,7,2,38,0,0,4,0,0,1,0,0,0,0
ap14O5-G7UA,https://www.youtube.com/watch?v=ap14O5-G7UA,[M/V] SEVENTEEN(세븐틴) - 독 : Fear,80992.0,1388440,49.0,45260,2144,6201,3558,1714,1918,1803,316,509,1694,482,545,1334,2171,226,544,242,340,459,482,1078,124,352,598,1958,1101,718,291,777,300,617,155,239,104,20,65,225,141,33,11,15,48,1,17,1,39,0,0,20,1,1,0,0,0,0,0
__7kAs8pl_o,https://www.youtube.com/watch?v=__7kAs8pl_o,아이엔의 #ChkChkBoom Challenge 🎯 w/ #TWICE #트와이스 #MOMO #모모 선배님!✨ #StrayKids #스트레이키즈 #ATE,8036.0,1373798,44.0,3325,491,438,277,126,78,225,143,48,79,28,50,339,242,227,723,24,45,161,146,93,5,36,68,47,84,63,7,69,12,69,33,11,17,26,25,36,40,7,14,42,9,0,0,0,5,0,0,3,0,0,0,0,0,0,0
jdlZ_zObhxc,https://www.youtube.com/watch?v=jdlZ_zObhxc,#필릭스 의 #락챌린지 #LALALALA_Challenge 🤘 w/ #LE_SSERAFIM #KIMCHAEWON #김채원!🌙 #StrayKids #스트레이키즈 #Felix,6614.0,1371427,47.0,2009,573,690,173,79,68,122,255,31,109,293,43,141,142,525,198,18,83,120,54,50,2,28,42,50,43,48,21,158,7,59,25,13,21,89,12,60,39,0,43,60,9,1,1,1,4,0,0,1,0,1,0,0,0,0,0
Lw9Zo64vTKQ,https://www.youtube.com/watch?v=Lw9Zo64vTKQ,애교가 부끄러운 🐱형… (Feat. 🐿️) #StrayKids #스트레이키즈 #리노 #LeeKnow #필릭스 #Felix #YouMakeStrayKidsStay,9230.0,1362190,48.0,3464,663,987,216,91,54,184,341,56,80,219,37,221,324,438,191,34,352,201,89,55,2,69,66,99,55,97,20,148,33,45,27,5,28,36,11,53,32,4,27,62,4,1,1,0,5,0,0,1,0,1,0,0,1,0,0
zExZX0QaOJo,https://www.youtube.com/watch?v=zExZX0QaOJo,Roll in like we're dancing fools! Dance to #PermissiontoDance 💃🕺 with Jin. Only on YouTube #Shorts,16108.0,1352351,47.0,5118,711,1565,441,295,370,790,102,163,152,70,120,529,720,46,189,114,648,419,163,450,32,355,127,219,658,154,58,221,32,167,74,24,361,8,21,270,99,2,13,8,7,0,4,1,16,0,0,0,1,0,0,0,0,1,0
iK86ae14jV4,https://www.youtube.com/watch?v=iK86ae14jV4,[BANGTAN BOMB] 'Life Goes On' Stage CAM (BTS focus) @ 2020 AMAs - BTS (방탄소년단),100.0,1345904,23.0,33,1,17,3,3,0,8,0,3,1,2,1,8,1,9,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nF1zZIETE5k,https://www.youtube.com/watch?v=nF1zZIETE5k,[BANGTAN BOMB] 'Dynamite' Stage CAM (BTS focus) @ Gyeongbokgung - BTS (방탄소년단),100.0,1317887,15.0,20,55,8,1,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XaqAdRVkYmQ,https://www.youtube.com/watch?v=XaqAdRVkYmQ,🐺&🐥 #특챌린지 #S_Class_Challenge #StrayKids #스트레이키즈 #방찬 #BangChan #필릭스 #Felix #특 #S_Class #Shorts,8335.0,1312334,45.0,3085,472,870,300,173,85,254,265,36,125,244,41,145,174,586,222,12,50,99,58,151,3,37,53,55,36,47,20,186,35,48,29,4,28,111,17,45,34,3,28,52,10,0,3,0,2,0,0,2,0,0,0,0,0,0,0
T17AR8cVmto,https://www.youtube.com/watch?v=T17AR8cVmto,"Stray Kids ""Chk Chk Boom"" Performance Video",20893.0,1293275,47.0,8320,676,1728,1124,547,426,955,428,179,557,290,213,575,706,680,276,78,103,277,203,178,26,110,228,187,276,212,90,242,88,213,63,44,66,89,53,120,121,7,58,51,14,1,3,1,9,0,0,2,0,0,0,0,0,0,0
vnZZ-xjj7sk,https://www.youtube.com/watch?v=vnZZ-xjj7sk,BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Special MV @ BTS Island: In the SEOM,100.0,1286242,23.0,41,2,10,2,7,1,5,0,1,2,1,0,8,2,4,0,1,2,1,1,1,0,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5HMOkfE3kno,https://www.youtube.com/watch?v=5HMOkfE3kno,"Stray Kids ""Voices"" Performance Video",28452.0,1198082,46.0,15238,216,1451,1054,505,466,1983,761,142,476,270,172,791,711,416,52,128,225,132,257,315,50,147,246,228,346,227,130,322,102,314,22,63,114,32,40,129,93,8,34,30,3,0,2,0,5,0,0,3,0,0,1,0,0,0,0
_7lt0oDe_tY,https://www.youtube.com/watch?v=_7lt0oDe_tY,"TWICE ""The Feels""🎶 #GetTheFeelsWithTWICE 댄스 챌린지👑 with 🐰🐧",5999.0,1193906,46.0,1988,743,374,99,311,68,350,44,55,63,33,40,100,126,36,564,20,72,75,77,49,10,40,20,46,182,76,32,81,5,44,30,12,15,4,15,36,15,9,5,9,10,0,0,2,6,0,0,7,0,0,0,0,1,0,0
bY_TqcsMyHM,https://www.youtube.com/watch?v=bY_TqcsMyHM,"Hyunjin ""when the party's over"" (원곡 : Billie Eilish) | [Stray Kids : SKZ-PLAYER]",100.0,1184491,22.0,56,2,4,2,1,0,3,1,0,1,0,0,5,0,6,1,0,1,1,1,2,0,1,0,0,4,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkeh7Bx3GzY,https://www.youtube.com/watch?v=nkeh7Bx3GzY,"Stray Kids ""神메뉴(God's Menu)"" Dance Practice Video",19425.0,1122849,43.0,11276,223,329,746,299,717,933,171,84,756,141,99,496,402,378,80,101,41,85,107,399,21,155,94,77,319,254,50,136,60,124,17,31,30,37,14,59,24,9,24,17,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
